player_id,pos,player,team,pass_cmp,pass_att,pass_yds,pass_td,pass_int,pass_sacked,pass_sacked_yds,pass_long,pass_rating,rush_att,rush_yds,rush_td,rush_long,targets,rec,rec_yds,rec_td,rec_long,fumbles_lost,rush_scrambles,designed_rush_att,comb_pass_rush_play,comb_pass_play,comb_rush_play,Opponent_abbrev,two_point_conv,total_ret_td,offensive_fumble_recovery_td,pass_target_yds,pass_poor_throws,pass_blitzed,pass_hurried,rush_yds_before_contact,rush_yac,rush_broken_tackles,rec_air_yds,rec_yac,rec_drops,vis_team,home_team,week
CalcGr00,TE,Grant Calcaterra,PHI,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JAX,0,0,0,0,0,0,0,0,0,0,0.0,0,0,JAX,PHI,4
BerrBr00,WR,Braxton Berrios,NYJ,1,1,2,1,0,0,0,2,118.7,0,0,0,0,1,1,6,0,6,0,0,0,1,1,0,PIT,0,0,0,2,0,1,0,0,0,0,-2.0,8,0,NYJ,PIT,4
HallBr03,RB,Breece Hall,NYJ,0,0,0,0,0,0,0,0,0.0,17,66,1,16,6,2,12,0,6,0,0,17,17,0,17,PIT,0,0,0,0,0,0,0,52,14,0,46.8,4,2,NYJ,PIT,4
CartMi03,RB,Michael Carter,NYJ,0,0,0,0,0,0,0,0,0.0,9,15,0,5,3,2,14,0,11,0,0,9,9,0,9,PIT,0,0,0,0,0,0,0,15,0,0,5.1,10,0,NYJ,PIT,4
WilsZa00,QB,Zach Wilson,NYJ,18,36,252,1,2,1,4,35,59.0,2,15,0,9,1,1,2,1,2,0,2,0,39,39,0,PIT,0,0,0,331,7,13,4,15,0,0,2.0,0,0,NYJ,PIT,4
DaviCo03,WR,Corey Davis,NYJ,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,5,74,1,22,0,0,0,0,0,0,PIT,0,0,0,0,0,0,0,0,0,0,79.8,16,0,NYJ,PIT,4
ConkTy00,TE,Tyler Conklin,NYJ,0,0,0,0,0,0,0,0,0.0,0,0,0,0,5,3,52,0,26,0,0,0,0,0,0,PIT,0,0,0,0,0,0,0,0,0,0,40.0,24,1,NYJ,PIT,4
WilsGa00,WR,Garrett Wilson,NYJ,0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,2,41,0,35,0,0,0,0,0,0,PIT,0,0,0,0,0,0,0,0,0,0,45.0,20,2,NYJ,PIT,4
MoorEl00,WR,Elijah Moore,NYJ,0,0,0,0,0,0,0,0,0.0,1,2,0,2,4,3,53,0,28,0,0,1,1,0,1,PIT,0,0,0,0,0,0,0,2,0,0,54.0,15,0,NYJ,PIT,4
TrubMi00,QB,Mitchell Trubisky,PIT,7,13,84,0,1,3,26,26,41.8,1,1,0,1,0,0,0,0,0,0,1,0,17,17,0,NYJ,0,0,0,209,2,3,1,1,0,0,0.0,0,0,NYJ,PIT,4
PickKe00,QB,Kenny Pickett,PIT,10,13,120,0,3,0,0,27,65.1,6,15,2,7,0,0,0,0,0,0,2,4,19,15,4,NYJ,0,0,0,167,1,1,0,14,1,0,0.0,0,0,NYJ,PIT,4
HarrNa00,RB,Najee Harris,PIT,0,0,0,0,0,0,0,0,0.0,18,74,0,16,0,0,0,0,0,0,0,18,18,0,18,NYJ,0,0,0,0,0,0,0,44,30,0,0.0,0,0,NYJ,PIT,4
SmitJe03,WR,Jeff Smith,NYJ,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,PIT,0,0,0,0,0,0,0,0,0,0,25.0,0,0,NYJ,PIT,4
UzomC.00,TE,C.J. Uzomah,NYJ,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,0,0,0,0,0,0,0,0,0,0.0,0,0,NYJ,PIT,4
RuckJe00,TE,Jeremy Ruckert,NYJ,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,0,0,0,0,0,0,0,0,0,0.0,0,0,NYJ,PIT,4
WattDe00,FB,Derek Watt,PIT,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYJ,0,0,0,0,0,0,0,0,0,0,0.0,0,0,NYJ,PIT,4
BoykMi00,WR,Miles Boykin,PIT,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYJ,0,0,0,0,0,0,0,0,0,0,0.0,0,0,NYJ,PIT,4
